file	run_type
ENCFF261YSH	paired-ended
ENCFF860UCH	paired-ended
ENCFF477CQU	single-ended
ENCFF934AZP	paired-ended
ENCFF396JLE	paired-ended
ENCFF639ETA	paired-ended
ENCFF125JWY	paired-ended
ENCFF772EJG	paired-ended
ENCFF611ZEI	paired-ended
ENCFF598PRH	paired-ended
ENCFF438RES	paired-ended
ENCFF106NEF	paired-ended
ENCFF405BAG	single-ended
ENCFF975UDE	single-ended
ENCFF765CHC	paired-ended
ENCFF551PHG	paired-ended
ENCFF946UKJ	paired-ended
ENCFF732RWK	paired-ended
ENCFF016SEB	single-ended
ENCFF477OTZ	single-ended
ENCFF159HRT	single-ended
ENCFF237FTW	single-ended
ENCFF513STI	paired-ended
ENCFF467CXY	single-ended
ENCFF376XJI	paired-ended
ENCFF733TCL	single-ended
ENCFF244JVV	paired-ended
ENCFF162WTC	paired-ended
ENCFF443OOK	paired-ended
ENCFF166PCV	single-ended
ENCFF558NDU	paired-ended
ENCFF287TWO	paired-ended
ENCFF610LUN	single-ended
ENCFF071UJW	single-ended
ENCFF310NAD	single-ended
ENCFF618FFB	single-ended
ENCFF966PEX	single-ended
ENCFF138HXB	single-ended
ENCFF860XAE	single-ended
ENCFF046SMR	paired-ended
ENCFF438PJC	paired-ended
ENCFF474YKG	single-ended
ENCFF672GFS	single-ended
ENCFF050APU	paired-ended
ENCFF616QAS	paired-ended
ENCFF427KDL	paired-ended
ENCFF816ANC	paired-ended
ENCFF369PHJ	paired-ended
ENCFF296UEM	single-ended
ENCFF429VEC	single-ended
ENCFF474HCY	paired-ended
ENCFF585KAH	single-ended
ENCFF507QWT	paired-ended
ENCFF319IZZ	paired-ended
ENCFF861RFY	single-ended
ENCFF268CMB	single-ended
ENCFF806BLV	single-ended
ENCFF989PWI	single-ended
ENCFF910XNY	paired-ended
ENCFF369NRI	paired-ended
ENCFF204GFI	single-ended
ENCFF977LFT	single-ended
ENCFF072TLG	paired-ended
ENCFF313EDO	single-ended
ENCFF456GDF	paired-ended
ENCFF799FGK	paired-ended
ENCFF446RVL	paired-ended
ENCFF084DLF	paired-ended
ENCFF215SXQ	single-ended
ENCFF068EYV	paired-ended
ENCFF369ITQ	paired-ended
ENCFF427BNB	paired-ended
ENCFF512AOX	paired-ended
ENCFF407ORW	paired-ended
ENCFF531YYI	paired-ended
ENCFF477YUQ	paired-ended
ENCFF102QDV	paired-ended
ENCFF726YVN	paired-ended
ENCFF177HIF	paired-ended
ENCFF372SZT	single-ended
ENCFF272EZX	single-ended
ENCFF765CIP	single-ended
ENCFF932JKV	paired-ended
ENCFF939RXC	single-ended
ENCFF134TIX	paired-ended
ENCFF126MXQ	paired-ended
ENCFF882ETO	single-ended
ENCFF818DQZ	paired-ended
ENCFF931TGW	single-ended
ENCFF355MYX	paired-ended
ENCFF641PPV	paired-ended
ENCFF647TLU	paired-ended
ENCFF568ZEU	paired-ended
ENCFF139OOY	paired-ended
ENCFF824KSF	paired-ended
ENCFF130PVC	paired-ended
ENCFF639GFQ	single-ended
